ID,Link,Title
11744,https://indico.jlab.org/event/459/contributions/11744/,Machine Learning for Etch-Pit Identification at MoEDAL,https://indico.jlab.org/event/459/contributions/11744/attachments/9392/13622/MoEDAL_ML_CHEP_2023.pdf
11811,https://indico.jlab.org/event/459/contributions/11811/,Opticks : GPU Optical Photon Simulation using NVIDIA OptiX 7 and NVIDIA CUDA,https://indico.jlab.org/event/459/contributions/11811/attachments/9215/13376/opticks_20230508_chep_compressed.pdf
11691,https://indico.jlab.org/event/459/contributions/11691/,Support for experiments at INFN-T1,https://indico.jlab.org/event/459/contributions/11691/attachments/9261/13583/support.pdf
11538,https://indico.jlab.org/event/459/contributions/11538/,Train to Sustain,https://indico.jlab.org/event/459/contributions/11538/attachments/9476/13737/Train_to_Sustain_SudhirMalik_CHEP2023.pdf
11306,https://indico.jlab.org/event/459/contributions/11306/,Automated Network Services for Exascale Data Movement,https://indico.jlab.org/event/459/contributions/11306/attachments/9319/13517/Automated-Network-Services-Justas-Balcas.pdf
11814,https://indico.jlab.org/event/459/contributions/11814/,CaTS: Integration of Geant4 and Opticks,https://indico.jlab.org/event/459/contributions/11814/attachments/9457/13711/CaTS_chep2023_v10.pdf
11376,https://indico.jlab.org/event/459/contributions/11376/,Cluster reconstruction in the HGCAL at the Level 1 trigger,https://indico.jlab.org/event/459/contributions/11376/attachments/9373/13594/CHEP.pdf
11724,https://indico.jlab.org/event/459/contributions/11724/,Deep Learning for Amplitude Analysis in Spectroscopy,https://indico.jlab.org/event/459/contributions/11724/attachments/9419/13661/chep_pypwa_2023_phelps_v0.pdf
11798,https://indico.jlab.org/event/459/contributions/11798/,Development of particle flow algorithms based on Neural Network techniques for the IDEA calorimeter at future colliders,https://indico.jlab.org/event/459/contributions/11798/attachments/9413/13654/CHEP2023_ADOnofrio.pdf
11595,https://indico.jlab.org/event/459/contributions/11595/,DUNE HDF5 Experience,https://indico.jlab.org/event/459/contributions/11595/attachments/9292/13484/CHEP2023_HDF5_Experience_In_DUNE.pdf
11642,https://indico.jlab.org/event/459/contributions/11642/,Experience deploying an analysis facility for the Rubin Observatory’s Legacy Survey of Space and Time (LSST) data,https://indico.jlab.org/event/459/contributions/11642/attachments/9204/13565/LSST_RSP_at_CHEP23_MAINETTI.pdf
11436,https://indico.jlab.org/event/459/contributions/11436/,Investigating mixed-precision for AGATA pulse-shape analysis,https://indico.jlab.org/event/459/contributions/11436/attachments/9317/13515/CHEP23_RMOLINA.pdf
11469,https://indico.jlab.org/event/459/contributions/11469/,JUNO distributed computing system,https://indico.jlab.org/event/459/contributions/11469/attachments/9238/13471/JUNO%20distributed%20computing%20system%20v3.pdf
11692,https://indico.jlab.org/event/459/contributions/11692/,Machine Learning for Columnar High Energy Physics Analysis,https://indico.jlab.org/event/459/contributions/11692/attachments/9446/13696/ekauffma_chep2023_pdfversion.pdf
11305,https://indico.jlab.org/event/459/contributions/11305/,A Named Data Networking Based Fast Open Storage System plugin for XRootD,https://indico.jlab.org/event/459/contributions/11305/attachments/9400/13638/N-DISE%40CEPH23%20v7%5B68%5D.pptx
11503,https://indico.jlab.org/event/459/contributions/11503/,Computing Challenges for the Einstein Telescope project,https://indico.jlab.org/event/459/contributions/11503/attachments/9372/13772/ET-CHEP2023-1.pdf
